date,is_weekend,is_holiday,working_hours,holiday_name
12/18/2017,FALSE,FALSE,8,
12/19/2017,FALSE,FALSE,8,
12/20/2017,FALSE,FALSE,8,
12/21/2017,FALSE,FALSE,8,
12/22/2017,FALSE,FALSE,8,
12/23/2017,TRUE,FALSE,0,
12/24/2017,TRUE,FALSE,0,
12/25/2017,FALSE,TRUE,0,Christmas Day
12/26/2017,FALSE,FALSE,8,
12/27/2017,FALSE,FALSE,8,
12/28/2017,FALSE,FALSE,8,
12/29/2017,FALSE,FALSE,8,
12/30/2017,TRUE,FALSE,0,
12/31/2017,TRUE,FALSE,0,
1/1/2018,FALSE,TRUE,0,New Year's Day
1/2/2018,FALSE,FALSE,8,
1/3/2018,FALSE,FALSE,8,
1/4/2018,FALSE,FALSE,8,
1/5/2018,FALSE,FALSE,8,
1/6/2018,TRUE,FALSE,0,
1/7/2018,TRUE,FALSE,0,
1/8/2018,FALSE,FALSE,8,
1/9/2018,FALSE,FALSE,8,
1/10/2018,FALSE,FALSE,8,
1/11/2018,FALSE,FALSE,8,
1/12/2018,FALSE,FALSE,8,
1/13/2018,TRUE,FALSE,0,
1/14/2018,TRUE,FALSE,0,
1/15/2018,FALSE,TRUE,0,Martin Luther King Day
1/16/2018,FALSE,FALSE,8,
1/17/2018,FALSE,FALSE,8,
1/18/2018,FALSE,FALSE,8,
1/19/2018,FALSE,FALSE,8,
1/20/2018,TRUE,FALSE,0,
1/21/2018,TRUE,FALSE,0,
1/22/2018,FALSE,FALSE,8,
1/23/2018,FALSE,FALSE,8,
1/24/2018,FALSE,FALSE,8,
1/25/2018,FALSE,FALSE,8,
1/26/2018,FALSE,FALSE,8,
1/27/2018,TRUE,FALSE,0,
1/28/2018,TRUE,FALSE,0,
1/29/2018,FALSE,FALSE,8,
1/30/2018,FALSE,FALSE,8,
1/31/2018,FALSE,FALSE,8,
2/1/2018,FALSE,FALSE,8,
2/2/2018,FALSE,FALSE,8,
2/3/2018,TRUE,FALSE,0,
2/4/2018,TRUE,FALSE,0,
2/5/2018,FALSE,FALSE,8,
2/6/2018,FALSE,FALSE,8,
2/7/2018,FALSE,FALSE,8,
2/8/2018,FALSE,FALSE,8,
2/9/2018,FALSE,FALSE,8,
2/10/2018,TRUE,FALSE,0,
2/11/2018,TRUE,FALSE,0,
2/12/2018,FALSE,FALSE,8,
2/13/2018,FALSE,FALSE,8,
2/14/2018,FALSE,FALSE,8,
2/15/2018,FALSE,FALSE,8,
2/16/2018,FALSE,FALSE,8,
2/17/2018,TRUE,FALSE,0,
2/18/2018,TRUE,FALSE,0,
2/19/2018,FALSE,TRUE,0,Presidents' Day
2/20/2018,FALSE,FALSE,8,
2/21/2018,FALSE,FALSE,8,
2/22/2018,FALSE,FALSE,8,
2/23/2018,FALSE,FALSE,8,
2/24/2018,TRUE,FALSE,0,
2/25/2018,TRUE,FALSE,0,
2/26/2018,FALSE,FALSE,8,
2/27/2018,FALSE,FALSE,8,
2/28/2018,FALSE,FALSE,8,
3/1/2018,FALSE,FALSE,8,
3/2/2018,FALSE,FALSE,8,
3/3/2018,TRUE,FALSE,0,
3/4/2018,TRUE,FALSE,0,
3/5/2018,FALSE,FALSE,8,
3/6/2018,FALSE,FALSE,8,
3/7/2018,FALSE,FALSE,8,
3/8/2018,FALSE,FALSE,8,
3/9/2018,FALSE,FALSE,8,
3/10/2018,TRUE,FALSE,0,
3/11/2018,TRUE,FALSE,0,
3/12/2018,FALSE,FALSE,8,
3/13/2018,FALSE,FALSE,8,
3/14/2018,FALSE,FALSE,8,
3/15/2018,FALSE,FALSE,8,
3/16/2018,FALSE,FALSE,8,
3/17/2018,TRUE,FALSE,0,
3/18/2018,TRUE,FALSE,0,
3/19/2018,FALSE,FALSE,8,
3/20/2018,FALSE,FALSE,8,
3/21/2018,FALSE,FALSE,8,
3/22/2018,FALSE,FALSE,8,
3/23/2018,FALSE,FALSE,8,
3/24/2018,TRUE,FALSE,0,
3/25/2018,TRUE,FALSE,0,
3/26/2018,FALSE,FALSE,8,
3/27/2018,FALSE,FALSE,8,
3/28/2018,FALSE,FALSE,8,
3/29/2018,FALSE,FALSE,8,
3/30/2018,FALSE,FALSE,8,
3/31/2018,TRUE,FALSE,0,
4/1/2018,TRUE,FALSE,0,
4/2/2018,FALSE,FALSE,8,
4/3/2018,FALSE,FALSE,8,
4/4/2018,FALSE,FALSE,8,
4/5/2018,FALSE,FALSE,8,
4/6/2018,FALSE,FALSE,8,
4/7/2018,TRUE,FALSE,0,
4/8/2018,TRUE,FALSE,0,
4/9/2018,FALSE,FALSE,8,
4/10/2018,FALSE,FALSE,8,
4/11/2018,FALSE,FALSE,8,
4/12/2018,FALSE,FALSE,8,
4/13/2018,FALSE,FALSE,8,
4/14/2018,TRUE,FALSE,0,
4/15/2018,TRUE,FALSE,0,
4/16/2018,FALSE,FALSE,8,
4/17/2018,FALSE,FALSE,8,
4/18/2018,FALSE,FALSE,8,
